,업무,공고번호-차수,분류,공고명,URL주소,공고기관,수요기관,계약방법,입력일시,공동수급,투찰여부
1,용역,20190349331-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190349331&bidseq=00&releaseYn=Y&taskClCd=1 ,나눔「휴」캠프 통합 운영 대행 용역,조달청 서울지방조달청,사회복지법인 한국사회복지협의회,일반(총액)협상에의한계약,2019/03/29 14:37(2019/04/09 10:00),마감,마감
2,용역,20190349712-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190349712&bidseq=00&releaseYn=Y&taskClCd=5 ,2019 매직프로그램 1학년 My 비전캠프 위탁 교육,충청남도교육청 천안여자상업고등학교,충청남도교육청 천안여자상업고등학교,일반(총액)규격가격동시,2019/03/29 14:11(2019/04/05 17:00),,마감
3,공사,2019LHN00052019-03362-01,일반,https://www.g2b.go.kr:8101/ep/tbid/facilBidDtl.do?tbidno=20190352657&bidseq=01,전체지원비(힐링캠프 시설보수 공사(전기)),육군 제2621부대,제2621부대,수의계약(기타),2019/03/29 09:00(2019/04/04 10:00),,육군 제2621부대 이동
4,공사,2019LHN00042019-03344-01,일반,https://www.g2b.go.kr:8101/ep/tbid/facilBidDtl.do?tbidno=20190352656&bidseq=01,전체지원비(힐링캠프 시설보수 공사(본)),육군 제2621부대,제2621부대,수의계약(기타),2019/03/29 09:00(2019/04/04 10:00),,육군 제2621부대 이동
5,용역,20190347924-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190347924&bidseq=00&releaseYn=Y&taskClCd=5 ,서울외고 2학년 리더십캠프 용역 업체 선정,서울특별시교육청 서울외국어고등학교,서울특별시교육청 서울외국어고등학교,제한(총액)2단계경쟁,2019/03/28 15:35(2019/04/04 12:00),,마감
6,용역,20190343312-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190343312&bidseq=00&releaseYn=Y&taskClCd=5 ,어린이 안전문화 체험캠프 운영 용역(재공고),충청북도 청주시,충청북도 청주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/26 15:44(2019/04/01 10:00),,마감
7,공사,20190342376-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190342376&bidseq=00&releaseYn=Y&taskClCd=3 ,캠프라과디아 내 도시계획도로(중로3-3호선 외 3개소) 개설사업,경기도 의정부시,경기도 의정부시,지역제한,2019/03/26 10:25(2019/04/03 10:00),,마감
8,용역,20190341515-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190341515&bidseq=00&releaseYn=Y&taskClCd=5 ,2019학년도 대지고등학교 1학년 진로캠프 위탁용역 입찰 공고,경기도교육청 대지고등학교,경기도교육청 대지고등학교,제한(총액)규격가격동시,2019/03/25 18:41(2019/04/09 12:00),,마감
9,용역,20190339203-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190339203&bidseq=00&releaseYn=Y&taskClCd=5 ,2019학년도 초중학생 국제교류  해외영어캠프 운영,충청남도교육청 충청남도청양교육지원청,충청남도교육청 충청남도청양교육지원청,일반(총액)규격가격동시,2019/03/25 09:25(2019/04/15 10:00),,마감
10,물품,2019LPK000307290-02,재입찰,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20190317969&bidseq=02,캠프님블 신축 관급자재 타일(사고이월),제8기동사단,제8기계화보병사단,제한(총액),2019/03/25 09:00(2019/04/02 10:00),,제8기동사단 이동
11,용역,20190339032-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190339032&bidseq=00&releaseYn=Y&taskClCd=5 ,2019년 찾아가는 어린이 안전체험캠프 용역,서울특별시 서대문구,서울특별시 서대문구,수의(총액)소액수의,2019/03/22 18:25(2019/03/28 10:20),,마감
12,용역,20190338139-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190338139&bidseq=00&releaseYn=Y&taskClCd=5 ,2019학년도 2학년 체인지업캠퍼스(구경기영어마을파주캠프) 차량임차 소액수의 견적제출 공고,경기도교육청 경기도화성오산교육지원청 안화중학교,경기도교육청 경기도화성오산교육지원청 안화중학교,수의(총액)소액수의,2019/03/22 14:15(2019/03/29 12:00),,마감
13,용역,20190335134-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190335134&bidseq=00&releaseYn=Y&taskClCd=5 ,19년 농업계학교 영농 창취업 실전캠프 운영 용역,농림수산식품교육문화정보원,농림수산식품교육문화정보원,일반(총액)협상에의한계약,2019/03/21 18:12(2019/04/02 11:00),마감,마감
14,용역,20190335803-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190335803&bidseq=00&releaseYn=Y&taskClCd=5 ,진로캠프 프로젝트 위탁 용역 견적 안내 공고,대구광역시교육청 영남공업고등학교,대구광역시교육청 영남공업고등학교,수의(총액)소액수의,2019/03/21 14:12(2019/03/26 14:00),,마감
15,용역,20190332668-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190332668&bidseq=00&releaseYn=Y&taskClCd=1 ,2019 대입상담캠프 기획 및 운영 대행업체 선정,조달청 부산지방조달청,부산광역시교육청,제한(총액)협상에의한계약,2019/03/20 20:34(2019/04/11 12:00),마감,마감
16,용역,20190333951-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190333951&bidseq=00&releaseYn=Y&taskClCd=5 ,2019년 초등 6학년 전환기 학습캠프 교육위탁 용역,인천광역시교육청 인천광역시남부교육지원청,인천광역시교육청 인천광역시남부교육지원청,제한(총액)규격가격동시,2019/03/20 17:24(2019/04/01 11:00),,마감
17,용역,20190330950-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190330950&bidseq=00&releaseYn=Y&taskClCd=1 ,‘2019 차세대동포 한국어 집중캠프’ 기획 및 운영,조달청,재외동포재단,일반(총액)협상에의한계약,2019/03/20 15:50(2019/04/09 10:00),마감,마감
18,용역,20190333231-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190333231&bidseq=00&releaseYn=Y&taskClCd=5 ,2019 스마트미디어X 캠프 운영,한국방송통신전파진흥원,한국방송통신전파진흥원,제한(총액)협상에의한계약,2019/03/20 14:34(2019/04/01 14:00),마감,마감
19,용역,20190325820-01,취소,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190325820&bidseq=01&releaseYn=Y&taskClCd=1 ,2019 대입상담캠프 기획 및 운영 대행업체 선정,조달청 부산지방조달청,부산광역시교육청,제한(총액)협상에의한계약,2019/03/20 09:58(2019/04/09 12:00),,
20,용역,20190331238-00,재입찰,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190331238&bidseq=00&releaseYn=Y&taskClCd=5 ,2019 전봉준 캠프 위탁급식 용역 소액수의 견적제출 안내 재공고,전라북도교육청 전라북도정읍교육지원청,전라북도교육청 전라북도정읍교육지원청,수의(총액)소액수의,2019/03/19 17:26(2019/03/27 16:00),,마감
21,용역,20190330482-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190330482&bidseq=00&releaseYn=Y&taskClCd=5 ,2019 한일중 대학생 외교캠프 운영 대행,외교부,외교부,제한(총액)협상에의한계약,2019/03/19 15:03(2019/04/30 12:00),마감,마감
22,용역,20190330264-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190330264&bidseq=00&releaseYn=Y&taskClCd=5 ,서울외고 2학년 리더십캠프 용역 업체 선정,서울특별시교육청 서울외국어고등학교,서울특별시교육청 서울외국어고등학교,제한(총액)2단계경쟁,2019/03/19 14:22(2019/03/27 12:00),,마감
23,용역,20190328899-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190328899&bidseq=00&releaseYn=Y&taskClCd=5 ,2019년 제주도 영어캠프 운송 및 국외현장체험학습 위탁용역(긴급),충청남도홍성교육청 갈산중학교,충청남도홍성교육청 갈산중학교,제한(총액),2019/03/19 00:04(2019/03/25 10:00),,마감
24,용역,20190328432-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190328432&bidseq=00&releaseYn=Y&taskClCd=5 ,2019 서민금융진흥원 원스톱 취업캠프 위탁운영 사업,서민금융진흥원,서민금융진흥원,제한(총액)협상에의한계약,2019/03/18 18:28(2019/03/29 10:00),,마감
25,용역,20190328409-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190328409&bidseq=00&releaseYn=Y&taskClCd=5 ,2019년 청소년 사회적경제 캠프 운영 용역,한국사회적기업진흥원,한국사회적기업진흥원,제한(총액)협상에의한계약,2019/03/18 18:21(2019/04/02 10:00),마감,마감
26,용역,20190327511-01,취소,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190327511&bidseq=01&releaseYn=Y&taskClCd=5 ,2019 서민금융진흥원 원스톱 취업캠프 위탁운영 사업,서민금융진흥원,서민금융진흥원,제한(총액)협상에의한계약,2019/03/18 18:19(2019/03/29 10:00),,
27,용역,20190325742-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190325742&bidseq=00&releaseYn=Y&taskClCd=1 ,나눔「휴」캠프 통합 운영 대행 용역,조달청 서울지방조달청,사회복지법인 한국사회복지협의회,일반(총액)협상에의한계약,2019/03/18 15:39(2019/03/29 10:00),마감,마감
28,용역,20190327008-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190327008&bidseq=00&releaseYn=Y&taskClCd=5 ,2019년 이목중학교 진로 어울림 캠프 수련활동 위탁용역 입찰 공고,경기도수원교육청 이목중학교,경기도수원교육청 이목중학교,제한(총액)규격가격동시,2019/03/18 14:09(2019/03/26 16:00),,마감
29,공사,20190326310-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190326310&bidseq=00&releaseYn=Y&taskClCd=3 ,캠프워커 교차로 조경지 정비공사,대구광역시 남구,대구광역시 남구,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/18 11:18(2019/03/22 12:00),,마감
30,용역,20190320859-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190320859&bidseq=00&releaseYn=Y&taskClCd=5 ,[IITP]2019학년도 대덕소프트웨어마이스터고등학교 취업역량강화캠프 위탁용역 2단계 입찰 공고,대전광역시교육청 대덕소프트웨어마이스터고등학교,대전광역시교육청 대덕소프트웨어마이스터고등학교,제한(총액)규격가격동시,2019/03/18 09:11(2019/03/29 15:00),,마감
31,공사,20190314761-01,취소,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190314761&bidseq=01&releaseYn=Y&taskClCd=3 ,녹색베이스캠프 에코복합센터 전기공사,경상북도 경산시,경상북도 경산시,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/15 19:26(2019/03/18 10:00),,
32,용역,20190322358-02,변경,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190322358&bidseq=02&releaseYn=Y&taskClCd=5 ,2019년 대학 혁신지원 사업 리더십 캠프 운영 위탁 용역,부산여자대학 산학협력단,부산여자대학 산학협력단,제한(총액)협상에의한계약,2019/03/15 15:34(-),,
33,용역,20190321293-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190321293&bidseq=00&releaseYn=Y&taskClCd=5 ,어린이 안전문화 체험캠프 운영 용역(재공고),충청북도 청주시,충청북도 청주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/14 14:20(2019/03/20 10:00),,마감
34,기타,2019-003-00,일반,https://www.g2b.go.kr:8101/ep/tbid/selectOthersBidDtl.do?tbidno=20190322824&bidseq=00,창업캠프 운영 및 창업교육 위탁용역,인하공업전문대학 산학협력단,인하공업전문대학 산학협력단,,2019/03/14 13:42(2019/03/25 10:00),,
35,용역,20190318820-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190318820&bidseq=00&releaseYn=Y&taskClCd=5 ,사이버 가디언즈 보안캠프 운영,한국정보기술연구원,한국정보기술연구원,일반(총액)협상에의한계약,2019/03/13 14:06(-),,
36,용역,20190316079-00,재입찰,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190316079&bidseq=00&releaseYn=Y&taskClCd=5 ,2019 전봉준 캠프 위탁급식 용역 소액수의 견적제출 안내 공고,전라북도교육청 전라북도정읍교육지원청,전라북도교육청 전라북도정읍교육지원청,수의(총액)소액수의,2019/03/12 13:52(2019/03/19 16:00),,마감
37,물품,2019LPK000407291-01,긴급,https://www.g2b.go.kr:8101/ep/tbid/selectProdBid.do?tbidno=20190317970&bidseq=01,캠프님블 신축 관급자재 온돌마루,제8기동사단,제8기계화보병사단,제한(총액),2019/03/12 09:00(2019/03/20 10:00),,제8기동사단 이동
38,용역,20190314159-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190314159&bidseq=00&releaseYn=Y&taskClCd=1 ,2019년 대구교육팔공산수련원 리더십캠프 교육위탁 용역 조달 요청,조달청,대구광역시교육청 대구교육팔공산수련원,일반(총액)협상에의한계약,2019/03/11 19:58(2019/03/28 10:00),마감,마감
39,용역,20190313835-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190313835&bidseq=00&releaseYn=Y&taskClCd=5 ,2019 익산시 공직자 힐링캠프 용역,전라북도 익산시,전라북도 익산시,제한(총액),2019/03/11 16:12(2019/03/19 14:00),,마감
40,용역,20190313698-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190313698&bidseq=00&releaseYn=Y&taskClCd=5 ,수원여고 2019학년도 2학년 주제별체험학습(인성캠프) 용역(재공고),경기도교육청 수원여자고등학교,경기도교육청 수원여자고등학교,제한(총액)규격가격동시,2019/03/11 15:42(2019/03/22 10:00),,마감
41,용역,20190313282-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190313282&bidseq=00&releaseYn=Y&taskClCd=5 ,2019 전봉준 캠프 차량 임차 용역 소액수의 견적제출 안내 공고,전라북도교육청 전라북도정읍교육지원청,전라북도교육청 전라북도정읍교육지원청,수의(총액)소액수의,2019/03/11 14:08(2019/03/18 10:00),,마감
42,용역,20190303993-01,변경,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190303993&bidseq=01&releaseYn=Y&taskClCd=5 ,2019학년도 서울디지텍고 취업캠프 위탁 용역 입찰공고,서울특별시교육청 서울디지텍고등학교,서울특별시교육청 서울디지텍고등학교,제한(총액)규격가격동시,2019/03/08 15:07(2019/03/18 10:00),마감,마감
43,용역,20190308950-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190308950&bidseq=00&releaseYn=Y&taskClCd=5 ,어린이 안전문화 체험캠프 운영 용역,충청북도 청주시,충청북도 청주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/07 17:38(2019/03/13 10:00),,마감
44,용역,20190237021-02,변경,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190237021&bidseq=02&releaseYn=Y&taskClCd=5 ,캠프 마켓 다이옥신류 포함 복합오염토양정화,한국환경공단,한국환경공단,일반경쟁,2019/03/07 13:28(2019/04/15 15:00),마감,마감
45,용역,20190301007-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190301007&bidseq=00&releaseYn=Y&taskClCd=1 ,2019년 통일리더캠프(국외) 위탁 용역,조달청 서울지방조달청,통일부 통일교육원,일반(총액)협상에의한계약,2019/03/04 15:52(2019/03/15 10:00),마감,마감
46,용역,20190301375-00,긴급,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190301375&bidseq=00&releaseYn=Y&taskClCd=5 ,2019학년도 우성고 1학년 진로학습 캠프(수련활동) 용역업체 선정 제안입찰(규격/가격동시)공고,경기도교육청 우성고등학교,경기도교육청 우성고등학교,제한(총액)규격가격동시,2019/03/04 15:08(2019/03/12 11:00),,마감
47,용역,20190300953-00,일반,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20190300953&bidseq=00&releaseYn=Y&taskClCd=5 ,2019년 충무교육원 배려와협려의식함양캠프 차량임차용역 소액수의 견적 제출 공고,충청남도교육청 충무교육원,충청남도교육청 충무교육원,수의(총액)소액수의,2019/03/04 14:05(2019/03/08 16:00),,마감
